CityID;CityName;StateProvinceID;Latitude;Longitude;LatestRecordedPopulation
726;Amenia;33;41.8492599;-73.5567919;955
727;American Beach;10;30.5749605;-81.4439788;NULL
728;American Canyon;5;38.1749179;-122.2608044;19454
729;American Falls;13;42.7860227;-112.8544377;4457
730;American Fork;46;40.3768954;-111.7957645;26263
731;Americus;11;32.0723862;-84.2326876;17041
732;Americus;17;38.506956;-96.2619425;894
733;Americus;15;40.5258695;-86.7580635;423
734;Americus;26;38.780321;-91.5640565;NULL
735;Amery;52;45.3069062;-92.3621369;2902
736;Ames;33;42.8375737;-74.6015301;145
737;Ames;16;42.0347081;-93.6199402;58965
738;Ames;37;36.2498159006;-98.2091278885;239
739;Ames;45;30.0538261;-94.7435327;1003
740;Ames;28;41.4522236;-96.6244714;24
741;Amesbury;22;42.8584235;-70.9300548;16283
742;Amesville;36;39.4006285;-81.9556956;154
743;Amherst;28;40.8381294565;-99.2669323226;248
744;Amherst;45;34.0103679;-102.4154645;721
745;Amherst;49;37.5851412;-79.0514134;2231
746;Amherst;22;42.3753677;-72.519254;19065
747;Amherst;52;44.4508079;-89.2848359;1035
748;Amherst;36;41.3978217;-82.2223775;12021
749;Amherst;33;42.978391;-78.7997559;NULL
750;Amherst;43;45.7380069;-97.9212165;NULL
751;Amherst;30;42.8614748;-71.6253487;613
752;Amherst;20;44.8334042;-68.3641881;NULL
753;Amherst;6;40.6827729;-102.1660185;58
754;Amherst Junction;52;44.4688628;-89.3126138;377
755;Amherstdale;51;37.7853849;-81.809284;350
756;Amidon;35;46.4822327;-103.3218466;20
757;Amiret;24;44.316625;-95.6969587;NULL
758;Amistad;32;35.9189256;-103.1538304;NULL
759;Amite;19;30.7265747;-90.5089815;4141
760;Amity;33;41.2681501;-74.4548793;NULL
761;Amity;15;39.4261618;-86.0010995;NULL
762;Amity;38;45.1156724;-123.2073257;1614
763;Amity;26;39.8708312;-94.4357869;54
764;Amity;4;34.2648201;-93.4610173;723
765;Amityville;33;40.6789893;-73.4170673;9523
766;Ammon;13;43.4696366;-111.9666355;13816
767;Amo;15;39.6881019;-86.6136129;401
768;Amonate;49;37.1909477;-81.6387209;NULL
769;Amoret;26;38.2553017;-94.5877329;190
770;Amorita;37;36.9284192006;-98.3155201885;37
771;Amory;25;33.9842768;-88.488099;7316
772;Amsden;36;41.2161645;-83.3285351;NULL
773;Amsterdam;27;45.7579842;-111.3199589;180
774;Amsterdam;36;40.4736758;-80.9228671;511
775;Amsterdam;26;38.3497423;-94.5891216;242
776;Amsterdam;33;42.9386856;-74.1881858;18620
777;Amy;4;33.7320525;-92.8154405;NULL
778;Amy;17;38.4819617;-100.6018105;NULL
779;Anacoco;19;31.2521279;-93.3412795;869
780;Anaconda;27;46.1285369;-112.9422641;NULL
781;Anacortes;50;48.5126045;-122.6126718;15778
782;Anadarko;37;35.0765094006;-98.2674456885;6762
783;Anaheim;5;33.8352932;-117.9145036;336265
784;Anahola;12;22.1422622;-159.3138837;2223
785;Anahuac;45;29.7730001;-94.6826961;2243
786;Anaktuvuk Pass;2;68.1433333;-151.7358333;324
787;Anamoose;35;47.8825008;-100.241246;227
788;Anamosa;16;42.1083371;-91.2851594;5533
789;Anandale;19;31.255184;-92.4540258;NULL
790;Añasco;40;18.2827291;-67.1396245;5075
791;Anatone;50;46.1348764;-117.1323791;NULL
792;Anawalt;51;37.3359486;-81.4364928;226
793;Anceney;27;45.6485396;-111.3546821;NULL
794;Ancho;32;33.937848;-105.7397082;NULL
795;Anchor;14;40.5680898;-88.5356146;146
796;Anchor Bay;5;38.8026883;-123.5777894;340
797;Anchor Point;2;59.7766667;-151.8313889;1930
798;Anchorage;2;61.2180556;-149.9002778;291826
799;Anchorage;18;38.2667373;-85.5330157;2348
800;Anchorville;23;42.6911437;-82.6885269;NULL
801;Ancor;36;39.1372827;-84.317716;NULL
802;Ancram;33;42.0506467;-73.6362361;NULL
803;Andale;17;37.790567;-97.629492;928
804;Andalusia;1;31.3085039;-86.4832913;9015
805;Andalusia;14;41.4391986;-90.717641;1178
806;Anderson;42;34.5034394;-82.6501333;26686
807;Anderson;5;40.448208;-122.2977815;9932
808;Anderson;1;34.9284179;-87.266407;282
809;Anderson;26;36.650627;-94.44355;1961
810;Anderson;15;40.1053196;-85.6802541;56129
811;Anderson;2;64.3441667;-149.1869444;246
812;Anderson;16;40.8013888;-95.6041625;65
813;Anderson;31;40.770655;-74.919058;342
814;Anderson;43;43.5207302;-96.613183;371
815;Anderson;45;30.487147;-95.9868986;222
816;Anderson Mill;45;30.4549224;-97.8058432;NULL
817;Andersonville;15;39.4975488;-85.2888542;NULL
818;Andersonville;36;39.4278405;-83.0096262;779
819;Andersonville;44;36.1986898;-84.0371392;472
820;Andersonville;11;32.1959947;-84.1399085;255
821;Andes;33;42.1886976;-74.7857138;252
822;Andes;27;47.9555738;-104.5488444;NULL
823;Anding;25;32.6920811;-90.39787;NULL
824;Andover;30;43.4370198;-71.8234138;NULL
825;Andover;47;43.2772967;-72.6967616;NULL
826;Andover;20;44.6356166;-70.7511813;NULL
827;Andover;7;41.7373212;-72.37036;NULL
828;Andover;36;41.6067211;-80.572296;1145
829;Andover;14;41.2939249;-90.2920678;578
830;Andover;16;41.9791933;-90.2517961;103
831;Andover;17;37.7139041;-97.1364294;11791
832;Andover;24;45.2332985;-93.2913405;30598
833;Andover;22;42.6584254;-71.1370012;8762
834;Andover;43;45.4102319;-97.9025974;91
835;Andover;31;40.9859311;-74.7421089;606
836;Andover;33;42.1564581;-77.7955509;1042
837;Andrew;16;42.1536292;-90.5923542;434
